einzelpreisNetto,produktId,einheit,rabattProzent,gesamtNetto,pos,offerId,produktName,ustSatz,menge,beschreibung,gesamtBrutto,id,created_date,updated_date,created_by_id,created_by,is_sample
"0","","Stk","0","0","1","69c05bc1a83bfd069a5af2e2","","20","1","","0","69c166019300df11a79962b0","2026-03-23T16:10:41.681000","2026-03-23T16:10:41.681000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"0","","Stk","0","0","1","69c05bc1a83bfd069a5af2e2","","20","1","","0","69c1493c31f04def8c2f401b","2026-03-23T14:07:56.630000","2026-03-23T14:07:56.630000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"0","","Stk","0","0","1","69c05bc1a83bfd069a5af2e2","","20","1","","0","69c146eb736f417cb4db6db1","2026-03-23T13:58:03.387000","2026-03-23T13:58:03.387000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"8.01","695d3052ef9bc1e664b52156","pauschal","0","8.01","1","69c05bc1a83bfd069a5af2e2","Reinigung Innenhof","20","1","""Einrichten der Baustelle Seilaufbau für die Dauer der Arbeiten Den von Taubenkot stark verschmutzten Innenhof samt Fensterbretter (kleiner Hof zur Darwingasse 22)","9.612","69c1265f64805f341b295444","2026-03-23T11:39:11.315000","2026-03-23T13:57:48.884000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"90","695d3053ec4a73158ce85696","Std","0","90","1","69c05bc1a83bfd069a5af2e2","Regiestunden Schaden Eventualposition","20","1","""Das Angebot bzw. das angegebene Schadensausmaß bezieht sich auf das vom Boden aus wahrnehmbare Schadensbild. Falls das Arbeitsausmaß über die angebotenen Leistungen hinausgeht","108","69c123ef65f1a2da985cd7ed","2026-03-23T11:28:47.840000","2026-03-23T13:57:48.908000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"3400","","Stk","0","3400","1","69c05bc1a83bfd069a5af2e2","Taubenabwehr (Test)","20","1","Taubenabwehr für Friedmanngasse 29, 1160 Wien","4080","69c05bc29dee5e21d5a8185b","2026-03-22T21:14:42.109000","2026-03-23T13:57:48.903000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"5980","","Stk","0","5980","1","69bd0f807833d8d409633966","Taubenabwehr","20","1","Taubennetz im Hof (blau markiert)

Baustelle einrichten. 
Seilaufbau für die Dauer der Arbeiten.
Demontage des defekten Taubennetzes. 
Taubennetz wie in den beiliegenden Skizzen blau markiert,
mittels seilunterstützter Arbeit montieren. 
Seilabbau nach Fertigstellung der Arbeiten. 
Baustelle räumen.
Entsorgen des defekten Taubennetzes.

Für Schäden, die nach der Montage durch außergewöhnliche oder übermäßige Schneelast, Eisbildung, Laubansammlungen, Sturm oder sonstige äußere Einflüsse entstehen, übernehmen wir keine Haftung.

Die regelmäßige Kontrolle, Wartung sowie das Entfernen von Schnee, Eis und Laub obliegen ausschließlich dem Hauseigentümer bzw. der Hausverwaltung. Erforderliche Maßnahmen sind eigenständig zu beauftragen.","7176","69bd0f80a41394ffa7792e84","2026-03-20T09:12:32.348000","2026-03-22T21:05:27.493000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"4580","695d3050a40ddc91ca0f5adf","Stk","0","4580","2","69bd03417a6a54b838a76706","Taubenabwehr","20","1","Taubennetz über den gesamten Hof + Reinigung (grün u. orange)

Baustelle einrichten. 
Seilaufbau für die Dauer der Arbeiten. 
Reinigen der von Taubenkot verunreinigten Stellen wie in den beiliegenden Skizzen orange markiert. 
Taubennetz wie in den beiliegenden Skizzen grün markiert, 
mittels seilunterstützter Arbeit montieren. 
Seilabbau nach Fertigstellung der Arbeiten. 
Baustelle räumen.","5496","69bd035acc9c660c6efae7ff","2026-03-20T08:20:42.355000","2026-03-22T21:05:38.085000","anonymous","anonymous","false"
"2260","","Stk","0","2260","1","69bd03417a6a54b838a76706","Taubenabwehr","20","1","Taubenabwehr Top 48 (rot markiert) 

Baustelle einrichten. 
Reinigen des Balkons wie in den beiliegenden Skizzen blau markiert. 
Taubennetz wie in den beiliegenden Skizzen rot markiert, 
am Balkon von Top 48 montieren. 
Baustelle räumen. 
","2712","69bd0341f5b8998cf6f6ad7d","2026-03-20T08:20:17.212000","2026-03-22T21:05:37.838000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"3980","","Stk","0","3980","1","69bcf4279b6d7851f192cca7","Dienstleistung","20","1","Baustelle einrichten. 
Fenster und Fixverglasungen wie in den beiliegenden Skizzen rot markiert, 
an der Außenseite reinigen. 
Baustelle räumen. 
","4776","69bcf428708016418c9c0953","2026-03-20T07:15:52.153000","2026-03-20T10:01:42.158000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"0","","Stk","0","0","1","699837cb03e42dc8261ba201","Verputzarbeiten","20","1","Verputzarbeiten für Brünner Straße 14, 1210 Wien","0","69afca1b232955d3c8f08d06","2026-03-10T07:36:59.774000","2026-03-10T07:36:59.774000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"0","","Stk","0","0","1","69a8336d170f49a892005393","","20","1","","0","69aea5c7027515b30392e631","2026-03-09T10:49:43.432000","2026-03-09T10:49:43.432000","anonymous","anonymous","false"
"0","","Stk","0","0","1","69aaa70b1a36fa009b45405e","Taubenabwehr","20","1","Taubenabwehr für Pernerstorfergasse 25, 1100 Wien","0","69aaa7165d474934fb6f6a26","2026-03-06T10:06:14.412000","2026-03-16T16:33:41.710000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"50","695d3051c6eb600233a98847","Stk","0","50","2","69a82d9f49a24bbe03cdb012","Diverse Dienstleistungen","20","1","Dach Inspektion mit Fotodokumentation.","60","69a82dc16ea0aa8f4f63159e","2026-03-04T13:04:01.563000","2026-03-18T17:43:35.634000","anonymous","anonymous","false"
"400","","Stk","0","400","1","69a82d9f49a24bbe03cdb012","Dachrinnenreinigung","20","1","Dachrinnenreinigung am gesamten Objekt durchführen
Fallrohre kontrollieren und die Sinkkörbe, falls vorhanden, entleeren","480","69a82da09dfc03d5b4ce0034","2026-03-04T13:03:28.174000","2026-03-18T17:43:35.358000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
